timestamp,symbol,direction,entry,sl,tp1,tp2,tp3,score,grade,rr,adx,rsi,rel_volume,spike_tier,mtf_status,btc_regime,rs_label,funding_pct,oi_signal,beta_label,status
2026-06-29T21:11:35.333777+00:00,SONIC/USDT:USDT,LONG,0.0254,0.02516281,0.02599296,0.02634874,0.02682311,82.45,A,2.5,30.53,56.27,1.07,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-29T21:11:35.810244+00:00,SPACE/USDT:USDT,LONG,0.006233,0.00614235,0.00645964,0.00659562,0.00677693,85.43,A,2.5,26.83,54.51,1.01,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-29T22:21:56.267376+00:00,BOME/USDT:USDT,LONG,0.0004261,0.00041867,0.00044467,0.00045581,0.00047066,92.15,A,2.5,27.23,56.73,1.29,NORMAL,ALLOWED,BULL,STRONG,-0.0111,NEUTRAL,N/A,SL_HIT
2026-06-29T22:22:06.567116+00:00,CFX/USDT:USDT,LONG,0.04345,0.04296805,0.04465487,0.04537779,0.04634169,90.37,A,2.5,25.55,60.26,1.23,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-06-29T23:32:08.594000+00:00,ATH/USDT:USDT,LONG,0.004295,0.00424227,0.00442682,0.0045059,0.00461136,95.81,S,2.5,25.89,57.32,1.1,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-29T23:32:09.259541+00:00,TRUMP/USDT:USDT,LONG,1.673,1.65292114,1.72319714,1.75331543,1.79347314,90.48,A,2.5,30.8,57.34,1.54,ELEVATED,ALLOWED,BULL,STRONG,-0.0078,NEUTRAL,N/A,SL_HIT
2026-06-29T23:32:09.913289+00:00,NTAP/USDT:USDT,LONG,156.29,153.53704225,163.17239437,167.30183099,172.80774648,82.01,A,2.5,29.77,62.09,1.81,ELEVATED,ALLOWED,BULL,STRONG,0.0,NEUTRAL,N/A,SL_HIT
2026-06-30T16:11:40.086533+00:00,RENDER/USDT:USDT,SHORT,1.5159,1.55268971,1.43312316,1.40553087,1.36874117,68.0,C,2.25,20.39,39.31,1.1,NORMAL,ALLOWED,BEAR_CAUTION,NEUTRAL,0.005,NEUTRAL,MEDIUM,SL_HIT
2026-06-30T18:16:11.199307+00:00,ORCA/USDT:USDT,SHORT,1.176,1.19856562,1.12522736,1.10830315,1.08573753,90.24,A,2.25,28.22,38.4,1.84,ELEVATED,ALLOWED,BEAR_CAUTION,NEUTRAL,0.005,NEUTRAL,MEDIUM,SL_HIT
2026-06-30T20:23:38.974693+00:00,LTC/USDT:USDT,SHORT,41.69,42.34910023,40.20702448,39.71269931,39.05359908,96.9,S,2.25,25.81,38.28,1.2,NORMAL,ALLOWED,BEAR_CAUTION,NEUTRAL,-0.0221,NEUTRAL,MEDIUM,SL_HIT
2026-06-30T20:23:39.461579+00:00,THETA/USDT:USDT,SHORT,0.1278,0.12988752,0.12310308,0.12153744,0.11944992,77.07,B,2.25,28.82,39.12,1.04,NORMAL,ALLOWED,BEAR_CAUTION,NEUTRAL,0.01,NEUTRAL,MEDIUM,SL_HIT
2026-07-01T19:08:41.849698+00:00,EPIC/USDT:USDT,LONG,0.4739,0.45972354,0.50934114,0.53060583,0.55895874,96.7,S,2.5,32.62,56.61,1.81,ELEVATED,ALLOWED,BULL,STRONG,0.0806,NEUTRAL,N/A,SL_HIT
